Date,% GDP growth,% Price growth
1983-01-01,5.271417246,-0.815494393
1983-04-01,9.10242154,3.677221655
1983-07-01,7.996275207,4.048582996
1983-10-01,8.344877311,4.008016032
1984-01-01,7.819078561,5.158730159
1984-04-01,6.911163432,4.701273262
1984-07-01,3.85625644,3.097773475
1984-10-01,3.283451246,3.842459174
1985-01-01,3.876347228,2.283539486
1985-04-01,3.521821333,4.919583728
1985-07-01,6.108497307,2.61682243
1985-10-01,2.973168112,2.971216342
1986-01-01,3.734015554,5.161290323
1986-04-01,1.801535797,-4.367606915
1986-07-01,3.828129515,2.943882245
1986-10-01,2.148302945,2.557077626
1987-01-01,2.980685773,4.355716878
1987-04-01,4.315591648,4.667863555
1987-07-01,3.470448154,3.904170364
1987-10-01,6.868210323,4.217926186
1988-01-01,2.06650521,3.47826087
1988-04-01,5.255469165,4.137931034
1988-07-01,2.34371509,4.436860068
1988-10-01,5.329983293,4.725738397
1989-01-01,4.066409964,4.336947456
1989-04-01,3.053076479,6.270627063
1989-07-01,2.963522861,4.549147035
1989-10-01,0.788187108,2.891566265
1990-01-01,4.371161336,6.698564593
1990-04-01,1.451632879,4.392156863
1990-07-01,0.266091696,4.965089216
1990-10-01,-3.641517651,8.888888889
1991-01-01,-1.871375271,3.898050975
1991-04-01,3.118875323,1.187824796
1991-07-01,2.021186425,3.25684678
1991-10-01,1.393994682,2.936857562
1992-01-01,4.78820663,3.206997085
1992-04-01,4.337413389,3.181489516
1992-07-01,3.953087718,3.156384505
1992-10-01,4.172658751,3.416370107
1993-01-01,0.669601231,3.105151729
1993-04-01,2.3296785,2.801120448
1993-07-01,1.909258931,1.947148818
1993-10-01,5.440453307,3.044982699
1994-01-01,3.880865111,1.923076923
1994-04-01,5.420183465,2.460697198
1994-07-01,2.338060964,3.260869565
1994-10-01,4.58209778,2.69541779
1995-01-01,1.419024569,2.945113788
1995-04-01,1.193363509,3.455149502
1995-07-01,3.40271014,2.108036891
1995-10-01,2.71608411,2.359108781
1996-01-01,2.995787279,3.127035831
1996-04-01,6.671389705,3.619909502
1996-07-01,3.58796551,2.306213965
1996-10-01,4.153527952,3.057324841
1997-01-01,2.58225746,3.034134008
1997-04-01,6.648005815,1.254705144
1997-07-01,5.003392132,1.250781739
1997-10-01,3.43526605,2.743142145
1998-01-01,3.99791966,1.238390093
1998-04-01,3.703228552,0.49382716
1998-07-01,5.010269609,2.466091245
1998-10-01,6.463520916,1.715686275
1999-01-01,3.785887523,1.952410006
1999-04-01,3.076634568,2.9143898
1999-07-01,5.238659335,1.928872815
1999-10-01,6.798340123,3.359328134
2000-01-01,1.447040608,2.855443189
2000-04-01,7.324658688,3.780271707
2000-07-01,0.534221139,4.212990053
2000-10-01,2.491558358,2.779386219
2001-01-01,-1.140710618,3.910293272
2001-04-01,2.33822316,1.822323462
2001-07-01,-1.660152373,2.267573696
2001-10-01,1.089485491,0.450958286
2002-01-01,3.498056865,0.225225225
2002-04-01,2.422930145,3.601575689
2002-07-01,1.778285332,1.561628555
2002-10-01,0.619290546,2.666666667
2003-01-01,2.219066966,3.090507726
2003-04-01,3.441039271,1.314348302
2003-07-01,6.79283772,1.091703057
2003-10-01,4.592668197,2.612955906
2004-01-01,2.134989249,3.028664143
2004-04-01,3.048305457,2.361782072
2004-07-01,3.78131219,3.628601921
2004-10-01,4.006696447,3.595980962
2005-01-01,4.427854145,1.677148847
2005-04-01,1.846245248,4.384133612
2005-07-01,3.565335394,2.478058854
2005-10-01,2.525852498,8.619805028
2006-01-01,5.321148498,0.401808137
2006-04-01,0.934798958,2.80983442
2006-07-01,0.618531168,4.384653712
2006-10-01,3.40746092,-1.97141449
2007-01-01,0.941972428,3.045071818
2007-04-01,2.291489601,4.850641722
2007-07-01,2.173085309,3.300567255
2007-10-01,2.431367653,3.057759281
2008-01-01,-2.298799382,5.705817678
2008-04-01,2.065548395,3.333113388
2008-07-01,-2.165422362,9.486683307
2008-10-01,-8.655244976,-3.691054535
2009-01-01,-4.49078019,-9.331090578
2009-04-01,-0.575958997,1.464613817
2009-07-01,1.456444403,3.79297538
2009-10-01,4.393536417,3.32144221
2010-01-01,1.539118959,1.808700793
2010-04-01,3.688113216,-0.156330464
2010-07-01,2.948845097,0.371660005
2010-10-01,2.007610149,2.62861607
2011-01-01,-0.961765009,3.929965531
2011-04-01,2.859893307,5.25528173
